Departamento,MUNICIPIO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BARBOSA
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,CURRULAO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,JERICO
ANTIOQUIA,TURBO
ANTIOQUIA,CHIGORODO
ANTIOQUIA,JERICO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BAGRE
ANTIOQUIA,JERICO
ANTIOQUIA,BELLO
ANTIOQUIA,APARTADO
ANTIOQUIA,MARINILLA
ANTIOQUIA,BELLO
ANTIOQUIA,Antioquia
ANTIOQUIA,BELLO
ANTIOQUIA,Antioquia 
ANTIOQUIA,LA ESTRELLA
ANTIOQUIA,BELLO
ANTIOQUIA,SAN JUAN DE URABÁ
ANTIOQUIA,BELLO
ANTIOQUIA,MARINILLA
ANTIOQUIA,EL BAGRE
ANTIOQUIA,BELLO
ANTIOQUIA,TURBO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,HEMEPA 
ANTIOQUIA,CHIGORODO
ANTIOQUIA,LA ESTRELLA
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,TURBO
ANTIOQUIA,TURBO
ANTIOQUIA,CHIGORODO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,RIONEGRO 
ANTIOQUIA,APARTADO
ANTIOQUIA,CAREPA 
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,BELLO
ANTIOQUIA,APARTADO
ANTIOQUIA,CHIGORODO
ANTIOQUIA,MUTATA 
ANTIOQUIA,TURBO
ANTIOQUIA,CURRULAO
